Amphora angularis
Amphora angusta
Amphora arcus
Amphora arenaria
Amphora arenicola
Amphora bigibba
Amphora birugula
Amphora bullatoides
Amphora calumetica
Amphora caroliniana
Amphora cistula
Amphora clevia
Amphora coffeaeformis
Amphora commutata
Amphora costata
Amphora crassa
Amphora cruciferoides
Amphora cuneata
Amphora cymbelloides
Amphora delicatissima
Amphora delphiniana
Amphora exigua
Amphora fonticola
Amphora gigas
Amphora granulata
Amphora grevilleana
Amphora hemicycla
Amphora huronensis
Amphora hyalina
Amphora inariensis
Amphora laevis
Amphora lineolata
Amphora macilenta
Amphora michiganensis
Amphora montana
Amphora neglecta
Amphora normanii
Amphora obtusa
Amphora ocellata
Amphora oligotraphenta
Amphora ostrearia
Amphora ovalis
Amphora parallelistriata
Amphora pediculus
Amphora peragallorum
Amphora perpusilla
Amphora perstriata
Amphora proteoides
Amphora proteus
Amphora pusio
Amphora rhombica
Amphora robusta
Amphora rotunda
Amphora sabiniana
Amphora siberica
Amphora sibirica
Amphora spectabilis
Amphora straurophora
Amphora subcostulata
Amphora sublaevis
Amphora submontana
Amphora tenerrima
Amphora tenuissima
Amphora tenuistriata
Amphora thumensis
Amphora tumida
Amphora turgida
Amphora veneta
Amphorella brandti
Amphorella calida
Amphorella ganymedes
Amphorella gracilis
Amphorella infundibulum
Amphorella inquilinus
Amphorella intumescens
Amphorella laackmanni
Amphorella mediterranea
Amphorella minor
Amphorella obliqua
Amphorella oxyura
Amphorella pachytoecus
Amphorella pallida
Amphorella punctostriata
Amphorella pyramidata
Amphorella steenstrupi
Amphorella subulata
Amphorella tetragona
Amphorella torulata
Amphorella trachelium
Amphorella tuberculata
Amphorellina lanceolata
Amphorellina subacuta
Ampullofolliculina lageniformis
Anarma goodrichi
Anatoliocirrus capari
Anaulus balticus
Anaulus scalaris
Anchihauerina arta
Anchihauerina arubiana
Anchihauerina delicatissima
Anchihauerina galeroensis
Ancistrina anodontae
Ancistrina limnica
Ancistrina tihanyensis
Ancystropodium maupasi
Androcyclas gamphonycha
Androsina lucasi
Androspyris huxleyi
Androspyris reticulidisca
Andrusovia piscicola
Aneumastus aratus
Aneumastus carolinianus
Aneumastus maculosus
Aneumastus minor
Aneumastus pseudotusculus
Aneumastus stroesei
Aneumastus tusculus
Angulodiscorbis charlesensis
Angulodiscorbis conicola
Angulodiscorbis corrugatiformis
Angulodiscorbis corrugatus
Angulodiscorbis hancocki
Angulodiscorbis implacida
Angulodiscorbis pyramidalis
Angulodiscorbis quadrangularis
Angulodiscorbis sanmiguelica
Angulodiscorbis tobagoensis
Angulodiscorbis vesicularis
Angulogerina bubnanensis
Angulogerina galapagosensis
Anigsteinia arenicola
Anigsteinia clarissima
Anigsteinia longissima
Anigsteinia salinara
Anigsteinia salinarum
Anigsteinia velata
Anisolpidium ectocarpi
Anisolpidium joklianum
Anisolpidium minutum
Anisolpidium olpidium
Anisolpidium rosenvingei
Anisolpidium sphacelarum
Annectina viriosa
Annelophrya acetabulifera
Annelophrya ochridensis
Annelophrya sphaeronucleata
Annulocibicides gymnesicus
Annulopatellina annularis
Anomalacantha dentata
Anomalina ariminensis
Anomalina bassensis
Anomalina bradyi
Anomalina californiensis
Anomalina deprimiformis
Anomalina differens
Anomalina discors
Anomalina flintii
Anomalina galeroensis
Anomalina globigerinoides
Anomalina lalibertadensis
Anomalina maculosa
Anomalina panayensis
Anomalina pilasensis
Anomalina plana
Anomalina pliocenica
Anomalina polymorpha
Anomalina schmitti
Anomalina tasmanica
Anomalina umbilicata
Anomalinella rostrata
Anomalinoides bubnanensis
Anomalinoides colligera
Anomalinoides concina
Anomalinoides deprima
Anomalinoides globulosa
Anomalinoides granosa
Anomalinoides gutzi
Anomalinoides incrassata
Anomalinoides io
Anomalinoides jamesbayensis
Anomalinoides kurtzi
Anomalinoides mexicana
Anomalinoides minima
Anomalinoides porosiformis
Anomalinoides rotiensis
Anomalinoides salangoensis
Anomalinoides semicribrata
Anomalinoides sinuata
Anomalinoides spherica
Anomalinoides tasmanica
Anomalinoides umbonatiformis
Anomalinoides variegata
Anomalinoides welleri
Anomalinulla glabrata
Anomalinulla marina
Anomoeoneis bohemica
Anomoeoneis costata
Anomoeoneis sphaerophora
Anophryoides haemophila
Anophryoides puytoraci
Anophryoides soldoi
Anophrys arenicola
Anophrys dogieli
Anophrys sarcophaga
Anophrys ycus
Anoplophrya aelosomatis
Anoplophrya alluri
Anoplophrya almae
Anoplophrya attenuata
Anoplophrya baikalensis
Anoplophrya branchiarum
Anoplophrya cavernosa
Anoplophrya chaudhuri
Anoplophrya clavata
Anoplophrya cochleariformis
Anoplophrya commune
Anoplophrya complanata
Anoplophrya convexa
Anoplophrya cylindrica
Anoplophrya elongata
Anoplophrya enchytraei
Anoplophrya eudrili
Anoplophrya foetidae
Anoplophrya gammari
Anoplophrya gigantea
Anoplophrya limnodrili
Anoplophrya lloydi
Anoplophrya longinuclea
Anoplophrya macrogongylos
Anoplophrya macronucleata
Anoplophrya marylandensis
Anoplophrya maupasi
Anoplophrya minuta
Anoplophrya mytili
Anoplophrya naidos
Anoplophrya nodulata
Anoplophrya oblonga
Anoplophrya ochridensis
Anoplophrya oncodes
Anoplophrya orchestiae
Anoplophrya ovata
Anoplophrya pachycallyma
Anoplophrya pachydrili
Anoplophrya paradoxa
Anoplophrya parva
Anoplophrya pectinariae
Anoplophrya pelmatoida
Anoplophrya pheretimii
Anoplophrya pilosa
Anoplophrya setosa
Anoplophrya simplex
Anoplophrya singluaris
Anoplophrya socialis
Anoplophrya spiralisformis
Anoplophrya striata
Anoplophrya stromboides
Anoplophrya taupodrili
Anoplophrya tchadovi
Anoplophrya teleuscolicis
Anoplophrya variabilis
Anoplophrya vermicularis
Anoplophrya vulgaris
Anoplophryopsis ovata
Anorthoneis eurystoma
Anorthoneis excentrica
Anorthoneis hummi
Anorthoneis hyalina
Anorthoneis maculata
Anorthoneis peragalli
Anorthoneis striata
Anorthoneis tenuis
Antameron antarcticum
Antarctissa denticulata
Antarctissa strelkovi
Anteholosticha adami
Anteholosticha alpestris
Anteholosticha antecirrata
Anteholosticha arenicola
Anteholosticha australis
Anteholosticha azerbaijanica
Anteholosticha bergeri
Anteholosticha brachysticha
Anteholosticha brevis
Anteholosticha camerounensis
Anteholosticha distyla
Anteholosticha estuarii
Anteholosticha extensa
Anteholosticha gracilis
Anteholosticha grisea
Anteholosticha heterocirrata
Anteholosticha intermedia
Anteholosticha longissima
Anteholosticha manca
Anteholosticha mancoidea
Anteholosticha monilata
Anteholosticha multistilata
Anteholosticha muscicola
Anteholosticha oculata
Anteholosticha plurinucleata
Anteholosticha pulchra
Anteholosticha randani
Anteholosticha scutellum
Anteholosticha sigmoidea
Anteholosticha sphagni
Anteholosticha thononensis
Anteholosticha verrucosa
Anteholosticha violacea
Anteholosticha vuxgracilis
Anteholosticha warreni
Anteholosticha xanthichroma
Anthocyrtidium ophirense
Anthocyrtidium zanguebaricum
Anthocyrtium anthemis
Anticleina antarctica
Anturina haynesi
Apertospathidium implicata
Apertospathula armata
Apertospathula cuneata
Apertospathula implicata
Apertospathula inermis
Apertospathula lajacola
Apertospathula longiseta
Apertospathula similis
Apertospathula swarezewskyi
Apertospathula verruculifera
Apgaria purpurascens
Aphanodictyon papillatum
Aphanomyces acinetophagus
Aphanomyces amphigynus
Aphanomyces apophysii
Aphanomyces astaci
Aphanomyces bosminae
Aphanomyces brassicae
Aphanomyces camptostylus
Aphanomyces cladogamus
Aphanomyces cochlioides
Aphanomyces coniger
