Comatricha brachypus
Comatricha calderaensis
Comatricha clavicolumella
Comatricha elegans
Comatricha ellae
Comatricha filamentosa
Comatricha fragilis
Comatricha fusiformis
Comatricha kowalskii
Comatricha laxa
Comatricha laxifila
Comatricha longipila
Comatricha meandrispora
Comatricha mirabilis
Comatricha nigra
Comatricha nivalis
Comatricha nodulifera
Comatricha nutans
Comatricha orthotricha
Comatricha parvispora
Comatricha pellucida
Comatricha pseudoalpina
Comatricha pseudonigra
Comatricha pulchella
Comatricha pulchelloides
Comatricha reticulospora
Comatricha retispora
Comatricha rigidireta
Comatricha robusta
Comatricha rutilipedata
Comatricha sinuatocolumellata
Comatricha spinispora
Comatricha subalpina
Comatricha suksdorfii
Comatricha tenerrima
Comatricha variabilis
Comatricha vineatilis
Corallochytrium limacisporum
Cornuvia serpula
Cougourdella coryniformis
Cougourdella hydropsycheae
Cougourdella magna
Cougourdella pusilla
Craterium atrolucens
Craterium aureomagnum
Craterium aureonucleatum
Craterium aureum
Craterium concinnum
Craterium corniculatum
Craterium costatum
Craterium dictyosporum
Craterium leucocephalum
Craterium microcarpum
Craterium minutum
Craterium muscorum
Craterium obovatum
Craterium paraguayense
Craterium reticulatum
Craterium retisporum
Craterium rubronodum
Crepidulospora beklemishevi
Cribraria angulospora
Cribraria argillacea
Cribraria atrofusca
Cribraria aurantiaca
Cribraria cancellata
Cribraria confusa
Cribraria costata
Cribraria cribrarioides
Cribraria dictyospora
Cribraria elegans
Cribraria enodis
Cribraria exigua
Cribraria ferruginea
Cribraria filiformis
Cribraria fragilis
Cribraria intricata
Cribraria irregularis
Cribraria languescens
Cribraria laxa
Cribraria lepida
Cribraria macrocarpa
Cribraria macrospora
Cribraria macrostipitata
Cribraria martinii
Cribraria media
Cribraria meylanii
Cribraria microcarpa
Cribraria minutissima
Cribraria mirabilis
Cribraria oregana
Cribraria paucicostata
Cribraria paucidictyon
Cribraria persoonii
Cribraria pertenuis
Cribraria piriformis
Cribraria purpurea
Cribraria rubiginosa
Cribraria rufa
Cribraria rutila
Cribraria splendens
Cribraria stellifera
Cribraria tecta
Cribraria tenella
Cribraria violacea
Cribraria vulgaris
Cribraria zonatispora
Cristulospora aedis
Cristulospora cadyrovi
Cristulospora sherbani
Cryptosporina brachyfila
Cucumispora dikerogammari
Cucumispora ornata
Cucurbitella mespiliformis
Culicospora damnosi
Cylindrospora chironomi
Cylindrospora fasciculata
Cyphoderia ampulla
Cystosporogenes deliaradicae
Cystosporogenes legeri
Cystosporogenes operophterae
Cystosporogenes pristiphorae
Cytamoeba bacterifera
Desmozoon lepeophtherii
Desportesia laubieri
Diachea arboricola
Diachea aurantipes
Diachea bulbillosa
Diachea koazei
Diachea leucopodia
Diachea megalospora
Diachea muscicola
Diachea radiata
Diachea silvaepluvialis
Diachea splendens
Diachea subsessilis
Diachea synspora
Diachea thomasii
Diacheopsis depressa
Diacheopsis effusa
Diacheopsis gigantospora
Diacheopsis griseobrunnea
Diacheopsis insessa
Diacheopsis kowalskii
Diacheopsis laxifila
Diacheopsis metallica
Diacheopsis minuta
